,train_epoch,train_loss,train_accuracy,val_epoch,val_loss,val_accuracy
0,0,20833333.333333332,0.5708333333333333,0,0.17603138461709023,0.6625
1,1,0.20547114100772887,0.6083333333333333,1,0.40065669097239154,0.75625
2,2,0.25049269416679937,0.6166666666666667,2,0.374307169392705,0.24375
3,3,0.2055254993805041,0.6354166666666666,3,0.17127631958574058,0.4125
4,4,0.20623452261400718,0.625,4,0.17165797911584377,0.74375
5,5,0.18728243807951608,0.5375,5,0.17550119236111641,0.24375
6,6,0.18324836157262325,0.6208333333333333,6,0.200467842631042,0.75625
7,7,0.19090531567732494,0.625,7,0.170985933765769,0.75625
8,8,0.18645679506783683,0.6520833333333333,8,0.17407203763723372,0.75625
9,9,0.18241382238144677,0.6583333333333333,9,0.1698051869869232,0.75625
10,10,0.17366455551236867,0.6916666666666667,10,0.1703160848468542,0.4875
11,11,0.1908215564209968,0.5354166666666667,11,0.1768935512751341,0.75625
12,12,0.18735247546186048,0.6479166666666667,12,0.1742765098810196,0.75625
13,13,0.18201933469002446,0.6416666666666667,13,0.17278165593743325,0.61875
14,14,0.18132258858531713,0.5875,14,0.17235506623983382,0.6875
15,15,0.17768660814811785,0.6145833333333334,15,0.17459929026663304,0.75625
16,16,0.18322255679716667,0.5479166666666667,16,0.17316140197217464,0.75625
17,17,0.18232814059592783,0.5375,17,0.17439288478344678,0.26875
18,18,0.17223460938160617,0.64375,18,0.17908360175788401,0.74375
19,19,0.19050338591138521,0.6645833333333333,19,0.17637452837079765,0.75625
